report_loc,loccode,locname,totdkt,Quickdkt,Operdkt,Findkt,TotalChgWt,Sno,Loc,per1,per2
BMRO,AMD,Ahmedabad Branch,52,0,0,52,22925.0,1,AMD : Ahmedabad Branch,100,52
BMRO,BRD,Baroda Frachise,5,0,0,5,1803.0,2,BRD : Baroda Frachise,100,100
BMRO,BWD,Bhiwandi branch,113,0,0,113,44279.0,3,BWD : Bhiwandi branch,100,0
BMRO,BOMN,Mumbai (Andheri Branch),160,1,0,159,47479.0,4,BOMN : Mumbai (Andheri Branch),100,0
BMRO,BOMV,NEW MUMBAI (TURBHE),177,0,0,177,43360.0,5,BOMV : NEW MUMBAI (TURBHE),100,0
BMRO,VPI,VAPI BRANCH,59,1,0,58,50632.0,6,VPI : VAPI BRANCH,100,59
CRHQ,BPL,Bhopal,51,3,0,48,5113.0,7,BPL : Bhopal,100,102
CRHQ,IDR,Indore branch,661,0,0,661,132584.0,1,IDR : Indore branch,100,0
CRHQ,NAG,Nagpur (Wadi) outside octroi,37,0,0,37,11249.0,2,NAG : Nagpur (Wadi) outside octroi,100,74
CRHQ,PTP,Pithampur Hub,78,0,0,78,38475.0,3,PTP : Pithampur Hub,100,78
ERHQ,BBSR,BHUBANESHWAR,4,0,0,4,280.0,4,BBSR : BHUBANESHWAR,100,100
ERHQ,GWT,GUWHATI BRANCH,5,0,0,5,4280.0,1,GWT : GUWHATI BRANCH,100,100
ERHQ,JMP,JAMSHEDPUR,1,0,0,1,10.0,2,JMP : JAMSHEDPUR,100,100
ERHQ,CCUB,Kolkatta Branch,139,1,0,138,52982.0,3,CCUB : Kolkatta Branch,100,0
NRHQ,BLBG,BallabhGarh Branch,6,0,0,6,559.0,4,BLBG : BallabhGarh Branch,100,96
NRHQ,DELH,BHARTHAL SURFACE HUB,33,0,0,33,8859.0,1,DELH : BHARTHAL SURFACE HUB,100,99
NRHQ,DEL,DELHI,22,0,0,22,3548.0,2,DEL : DELHI,100,88
NRHQ,DHR,DHARUHERA BRANCH,296,8,0,288,38778.0,3,DHR : DHARUHERA BRANCH,100,0
NRHQ,FBD,Faridabad Branch,904,3,0,901,134359.0,4,FBD : Faridabad Branch,100,0
NRHQ,GGN,Gurgaon Branch,466,0,0,466,166396.0,5,GGN : Gurgaon Branch,100,0
NRHQ,JPRF,Jaipur Frachise,28,2,0,26,6442.0,6,JPRF : Jaipur Frachise,100,84
NRHQ,DELK,KAILASH COLONY (DELHI),2,0,0,2,1115.0,7,DELK : KAILASH COLONY (DELHI),100,100
NRHQ,DLXF,LAXMI NAGAR BRANCH,205,1,0,204,44894.0,8,DLXF : LAXMI NAGAR BRANCH,100,0
NRHQ,NZMR,Nizamudin Train hub,54,0,0,54,3294.0,9,NZMR : Nizamudin Train hub,100,54
