thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
MYS,MYS_/THC/0000313,MYS : Mysore Branch,2.00,220.0,0,KA01B0904,02 Apr 2007, MYS-YPR-BLR,,,6/27/2007 12:00:00 AM,19:00,3/30/2007,12:38,30 Mar 2007-12:38,Yet to Arrive,,,103
MYS,MYS_/THC/0000220,MYS : Mysore Branch,2.00,162.0,0,KA01B0904,02 Dec 2006,MYS-BLR-YPR,0,BLR,12/2/2006 12:00:00 AM,17:30,12/1/2006,23:00,01 Dec 2006-23:00,Departed,0,BLR,224
CJB,CJB_/THC/0000873,CJB : Coimbatore branch,7.00,537.0,0,TN37AC8192,02 May 2007,CJB-SLM-HSR -BLR-YPR,0,,5/23/2007 12:00:00 AM,14:53,7/5/2006,23:40,05 Jul 2006-23:40,Yet to Arrive,0,,73
MYS,MYS_/THC/0000160,MYS : Mysore Branch,5.00,4135.0,0,KA01B1556,02 Oct 2006,MYS-BLR-YPR,0,BLR,10/3/2006 12:00:00 AM,11:15,10/1/2006,3:00,01 Oct 2006-3:00,Departed,0,BLR,285
CJB,CJB_/THC/0002370,CJB : Coimbatore branch,8.00,4501.0,0,tn38ad2095,03 Dec 2006,CJB-BLR-YPR,0,BLR,12/6/2006 12:00:00 AM,14:30,12/3/2006,02:00,03 Dec 2006-02:00,Departed,0,BLR,223
MYS,MYS_/THC/0000068,MYS : Mysore Branch,5.00,952.0,0,KA01B0904,03 Jul 2006,MYS-BLR-YPR,0,BLR,7/3/2006 12:00:00 AM,13:20,7/1/2006,20:08,01 Jul 2006-20:08,Departed,0,BLR,376
MYS,MYS_/THC/0000070,MYS : Mysore Branch,2.00,715.0,0,KA01B0904,03 Jul 2006,MYS-BLR-YPR,0,BLR,8/18/2006 12:00:00 AM,06:55,7/1/2006,16:22,01 Jul 2006-16:22,Departed,0,BLR,376
MAAS,MAAS/THC/0000314,MAAS : Chennai Branch,10.00,1920.0,0,ka34 4099,03 Jul 2006,MAAS-BLR-YPR,0,BLR,7/3/2006 12:00:00 AM,13:22,7/3/2006,10:53,03 Jul 2006-10:53,Departed,0,BLR,376
MYS,MYS_/THC/0000121,MYS : Mysore Branch,9.00,8705.0,0,KA01B0904,04 Sep 2006,MYS-BLR-YPR,0,BLR,9/5/2006 12:00:00 AM,11:45,9/3/2006,17:14,03 Sep 2006-17:14,Departed,0,BLR,313
MYS,MYS_/THC/0700011,MYS : Mysore Branch,6.00,1990.0,0,KA01B0904,05 May 2007, MYS-YPR-BLR,,,5/31/2007 12:00:00 AM,07:42,5/5/2007,12:32,05 May 2007-12:32,Yet to Arrive,,,70
BMS,BMS_/THC/0000968,BMS : Bommasandra Branch,14.00,1752.0,0,KA19D5786,05 Sep 2006,BMS-BLR-YPR,0,BLR,9/5/2006 12:00:00 AM,12:30,9/5/2006,00:30,05 Sep 2006-00:30,Departed,0,BLR,312
MYS,MYS_/THC/0000164,MYS : Mysore Branch,4.00,4240.0,0,KA01B0904,06 Oct 2006,MYS-BLR-YPR,0,BLR,10/6/2006 12:00:00 AM,10:00,10/6/2006,00:51,06 Oct 2006-00:51,Departed,0,BLR,281
MYS,MYS_/THC/0000046,MYS : Mysore Branch,3.00,925.0,0,KA01B0904,07 Jun 2006,MYS-BLR-YPR,0,BLR,6/15/2006 12:00:00 AM,12:58,6/6/2006,20:54,06 Jun 2006-20:54,Departed,0,BLR,402
MYS,MYS_/THC/0000198,MYS : Mysore Branch,3.00,258.0,0,KA01B0904,07 Nov 2006,MYS-BLR-YPR,0,BLR,11/11/2006 12:00:00 AM,11:55,11/7/2006,20:13,07 Nov 2006-20:13,Departed,0,BLR,249
