Octroi_expense,Octroi_Paid,Octroi_OS,OCAGCD,OCBRCD,OCBILLNO,OCBILLSF,OCBILLDT,OCAGNM,OCTOTALDUE,OCDUEDT,REMARK,VOUCHERNO
3821,3821,0,V00055,UNHO,BEUNHO00597,.,7/14/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,3821,8/4/2007 12:00:00 AM,,
1596,1596,0,V00055,UNHO,BEUNHO00599,.,7/14/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,1596,8/4/2007 12:00:00 AM,,
21742,21742,0,V00055,UNHO,BEUNHO00600,.,7/14/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,21742,8/4/2007 12:00:00 AM,,
4108,4108,0,V00055,UNHO,BEUNHO00602,.,7/14/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,4108,8/4/2007 12:00:00 AM,,
13776,13776,0,V00055,UNHO,BEUNHO00598,.,7/14/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,13776,8/4/2007 12:00:00 AM,,
7607,0,7607,V00055,UNHO,BEUNHO00595,.,7/16/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,7607,8/4/2007 12:00:00 AM,,VRUNHO-0704799
2836,0,2836,V00055,UNHO,BEUNHO00596,.,7/16/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,2836,8/4/2007 12:00:00 AM,,VRUNHO-0704799
21787,0,21787,V00055,UNHO,BEUNHO00601,.,7/17/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,21787,8/4/2007 12:00:00 AM,,VRUNHO-0704799
61302,0,61302,V00055,UNHO,BEUNHO00594,.,7/17/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,61302,8/4/2007 12:00:00 AM,,VRUNHO-0704799
2075,0,2075,V00055,UNHO,BEUNHO00591,.,7/17/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,2075,8/3/2007 12:00:00 AM,,VRUNHO-0704799
13443,0,13443,V00055,UNHO,BEUNHO00593,.,7/17/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,13443,8/3/2007 12:00:00 AM,,VRUNHO-0704799
1057,1057,0,V00055,UNHO,BEUNHO00619,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,1057,8/7/2007 12:00:00 AM,,
25308,0,25308,V00055,UNHO,BEUNHO00604,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,25308,8/4/2007 12:00:00 AM,,VRUNHO-0704799
10189,0,10189,V00055,UNHO,BEUNHO00605,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,10189,8/4/2007 12:00:00 AM,,VRUNHO-0704799
8620,0,8620,V00055,UNHO,BEUNHO00606,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,8620,8/4/2007 12:00:00 AM,,VRUNHO-0704799
13205,13205,0,V00055,UNHO,BEUNHO00616,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,13205,8/7/2007 12:00:00 AM,,
50242,50242,0,V00055,UNHO,BEUNHO00589,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,50242,8/3/2007 12:00:00 AM,,
26143,26143,0,V00055,UNHO,BEUNHO00590,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,26143,8/3/2007 12:00:00 AM,,
389,389,0,V00055,UNHO,BEUNHO00592,.,7/18/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,389,8/3/2007 12:00:00 AM,,
94056,94056,0,V00055,UNHO,BEUNHO00620,.,7/19/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,94056,8/7/2007 12:00:00 AM,,
46689,46689,0,V00055,UNHO,BEUNHO00621,.,7/20/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,46689,8/7/2007 12:00:00 AM,,
94983,94983,0,V00055,UNHO,BEUNHO00617,.,7/20/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,94983,8/7/2007 12:00:00 AM,,
2890,2890,0,V00055,UNHO,BEUNHO00618,.,7/21/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,2890,8/7/2007 12:00:00 AM,,
1415,1415,0,V00055,UNHO,BEUNHO00622,.,7/21/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,1415,8/7/2007 12:00:00 AM,,
14546,14546,0,V00055,UNHO,BEUNHO00623,.,7/21/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,14546,8/7/2007 12:00:00 AM,,
2794,2794,0,V00055,UNHO,BEUNHO00615,.,7/21/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,2794,8/7/2007 12:00:00 AM,,
9986,9986,0,V00055,UNHO,BEUNHO00625,.,7/21/2007 12:00:00 AM,HARSH OCTROI CLEARING SERVICES,9986,8/7/2007 12:00:00 AM,,
